Exposure,Outcome,warning
"Diagnoses - main ICD10: H43.9 Disorder of vitreous body,unspecified || id:UKB-b:3268",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: H43.9 Disorder of vitreous body, unspecified || id:UKB-b:3268",Chang et al. 2017,lowcase
Operative procedures - main OPCS: W09.2 Curettage of lesion of bone and graft HFQ || id:UKB-b:327,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: W09.2 Curettage of lesion of bone and graft HFQ || id:UKB-b:327,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: Y41.0 Sulphonamides || id:UKB-b:3270,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: Y41.0 Sulphonamides || id:UKB-b:3270,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Y90.4 Barium meal || id:UKB-b:3271,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: Y90.4 Barium meal || id:UKB-b:3271,Chang et al. 2017,lowcase
PCT where patients GP was registered: SOLIHULL PCT || id:UKB-b:3272,Nalls et al. 2019 (clinically diagnosed cases),lowcase
PCT where patients GP was registered: SOLIHULL PCT || id:UKB-b:3272,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: T52.5 Digital fasciectomy || id:UKB-b:3274,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: T52.5 Digital fasciectomy || id:UKB-b:3274,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: M43.4 Endoscopic injection of neurolytic substance into nerve of bladder || id:UKB-b:3275,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: M43.4 Endoscopic injection of neurolytic substance into nerve of bladder || id:UKB-b:3275,Chang et al. 2017,snp+lowcase
"Diagnoses - secondary ICD10: S10.9 Superficial injury of neck,part unspecified || id:UKB-b:3276",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD10: S10.9 Superficial injury of neck, part unspecified || id:UKB-b:3276",Chang et al. 2017,lowcase
Treatment/medication code: migard 2.5mg tablet || id:UKB-b:3277,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: migard 2.5mg tablet || id:UKB-b:3277,Chang et al. 2017,lowcase
Length of menstrual cycle || id:UKB-b:3278,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Length of menstrual cycle || id:UKB-b:3278,Chang et al. 2017,snp+lowcase
Length of menstrual cycle || id:UKB-b:3278,Nalls et al. 2014,snp+lowcase
Treatment/medication code: avloclor 250mg tablet || id:UKB-b:3279,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: avloclor 250mg tablet || id:UKB-b:3279,Chang et al. 2017,lowcase
PCT responsible for patient data: OXFORDSHIRE PCT || id:UKB-b:328,Nalls et al. 2019 (clinically diagnosed cases),snp
PCT responsible for patient data: OXFORDSHIRE PCT || id:UKB-b:328,Chang et al. 2017,snp
Diagnoses - secondary ICD10: N13.7 Vesicoureteral-reflux-associated uropathy || id:UKB-b:3280,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: N13.7 Vesicoureteral-reflux-associated uropathy || id:UKB-b:3280,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: S91.0 Open wound of ankle || id:UKB-b:3281,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: S91.0 Open wound of ankle || id:UKB-b:3281,Chang et al. 2017,lowcase
Operative procedures - main OPCS: U35.4 Computed tomography of pulmonary arteries || id:UKB-b:3282,Chang et al. 2017,snp
Operative procedures - secondary OPCS: M58.2 Dilation of outlet of female bladder || id:UKB-b:3283,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: M58.2 Dilation of outlet of female bladder || id:UKB-b:3283,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: L03.3 Cellulitis of trunk || id:UKB-b:3284,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: L03.3 Cellulitis of trunk || id:UKB-b:3284,Chang et al. 2017,snp+lowcase
External causes: W22.0 Home || id:UKB-b:3286,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
External causes: W22.0 Home || id:UKB-b:3286,Chang et al. 2017,snp+lowcase
Diagnoses - secondary ICD10: M23.8 Other internal derangements of knee || id:UKB-b:3287,Chang et al. 2017,snp
Diagnoses - main ICD10: S82.1 Fracture of upper end of tibia || id:UKB-b:3289,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: S82.1 Fracture of upper end of tibia || id:UKB-b:3289,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: W81.4 Incision of joint NEC || id:UKB-b:329,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: W81.4 Incision of joint NEC || id:UKB-b:329,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: E21.0 Primary hyperparathyroidism || id:UKB-b:3290,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: E21.0 Primary hyperparathyroidism || id:UKB-b:3290,Chang et al. 2017,snp+lowcase
Standard tea intake || id:UKB-b:3291,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: R23.9 Unspecified cephalic vaginal delivery with abnormal presentation of head at delivery without instrument || id:UKB-b:3292,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: R23.9 Unspecified cephalic vaginal delivery with abnormal presentation of head at delivery without instrument || id:UKB-b:3292,Chang et al. 2017,lowcase
"Diagnoses - secondary ICD10: M79.26 Neuralgia and neuritis,unspecified (Lower leg) || id:UKB-b:3293",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD10: M79.26 Neuralgia and neuritis, unspecified (Lower leg) || id:UKB-b:3293",Chang et al. 2017,lowcase
Type of fat/oil used in cooking: Normal fat soft margarine || id:UKB-b:3294,Nalls et al. 2019 (clinically diagnosed cases),snp
Type of fat/oil used in cooking: Normal fat soft margarine || id:UKB-b:3294,Chang et al. 2017,snp
"Diagnoses - main ICD10: T85.3 Mechanical complication of other ocular prosthetic devices, imnplants and grafts || id:UKB-b:3295",Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: H69.3 Diagnostic endoscopic examination of ileoanal pouch and biopsy of ileoanal pouch using fibreoptic sigmoidoscope || id:UKB-b:3296,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: H69.3 Diagnostic endoscopic examination of ileoanal pouch and biopsy of ileoanal pouch using fibreoptic sigmoidoscope || id:UKB-b:3296,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: T23.0 Burn of unspecified degree of wrist and hand || id:UKB-b:3297,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: T23.0 Burn of unspecified degree of wrist and hand || id:UKB-b:3297,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: U18.1 Scintimammography || id:UKB-b:3298,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: U18.1 Scintimammography || id:UKB-b:3298,Chang et al. 2017,lowcase
Operative procedures - main OPCS: O01.2 Percutaneous transluminal coil embolisation of medium aneurysm of artery || id:UKB-b:3299,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: O01.2 Percutaneous transluminal coil embolisation of medium aneurysm of artery || id:UKB-b:3299,Chang et al. 2017,lowcase
Diagnoses - main ICD10: C71.3 Parietal lobe || id:UKB-b:33,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: C71.3 Parietal lobe || id:UKB-b:33,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: N01.2 Excision of lesion of scrotum || id:UKB-b:330,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: N01.2 Excision of lesion of scrotum || id:UKB-b:330,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: F12.8 Other specified surgery on apex of tooth || id:UKB-b:3300,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: F12.8 Other specified surgery on apex of tooth || id:UKB-b:3300,Chang et al. 2017,lowcase
Diagnoses - main ICD10: L81.4 Other melanin hyperpigmentation || id:UKB-b:3301,Chang et al. 2017,snp
Diagnoses - secondary ICD10: S32.00 Fracture of lumbar vertebra (closed) || id:UKB-b:3302,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: S32.00 Fracture of lumbar vertebra (closed) || id:UKB-b:3302,Chang et al. 2017,lowcase
Treatment/medication code: paroven 250mg capsule || id:UKB-b:3303,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: paroven 250mg capsule || id:UKB-b:3303,Chang et al. 2017,lowcase
Friendships satisfaction || id:UKB-b:3304,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: W33.2 Debridement of open fracture of bone || id:UKB-b:3305,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: W33.2 Debridement of open fracture of bone || id:UKB-b:3305,Chang et al. 2017,snp+lowcase
Treatment/medication code: erythromycin || id:UKB-b:3306,Nalls et al. 2019 (clinically diagnosed cases),snp
Treatment/medication code: erythromycin || id:UKB-b:3306,Chang et al. 2017,snp
"Diagnoses - main ICD10: T85.6 Mechanical complication of other specified internal prosthetic devices, implants and grafts || id:UKB-b:3307",Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: Z31.8 Other procreative management || id:UKB-b:3309,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: Z31.8 Other procreative management || id:UKB-b:3309,Chang et al. 2017,lowcase
Illnesses of adopted siblings: Bowel cancer || id:UKB-b:331,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Illnesses of adopted siblings: Bowel cancer || id:UKB-b:331,Chang et al. 2017,lowcase
Operative procedures - main OPCS: M73.6 Urethroplasty NEC || id:UKB-b:3311,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: M73.6 Urethroplasty NEC || id:UKB-b:3311,Chang et al. 2017,snp+lowcase
Treatment/medication code: mesren mr 400mg m/r tablet || id:UKB-b:3312,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: mesren mr 400mg m/r tablet || id:UKB-b:3312,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: M31.1 Extracorporeal shockwave lithotripsy of calculus of ureter || id:UKB-b:3313,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: M31.1 Extracorporeal shockwave lithotripsy of calculus of ureter || id:UKB-b:3313,Chang et al. 2017,lowcase
Operative procedures - main OPCS: C19.8 Other specified incision of eyelid || id:UKB-b:3314,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: C19.8 Other specified incision of eyelid || id:UKB-b:3314,Chang et al. 2017,lowcase
"Diagnoses - main ICD10: G93.1 Anoxic brain damage,not elsewhere classified || id:UKB-b:3315",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: G93.1 Anoxic brain damage, not elsewhere classified || id:UKB-b:3315",Chang et al. 2017,lowcase
"Diagnoses - secondary ICD9: 2165 Benign neoplasm of skin of trunk,except scrotum || id:UKB-b:3316",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD9: 2165 Benign neoplasm of skin of trunk, except scrotum || id:UKB-b:3316",Chang et al. 2017,lowcase
"Diagnoses - main ICD10: M46.18 Sacroiliitis,not elsewhere classified-Sacral/sacrococ || id:UKB-b:3317",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: M46.18 Sacroiliitis, not elsewhere classified-Sacral/sacrococ || id:UKB-b:3317",Chang et al. 2017,lowcase
Diagnoses - main ICD10: K13.6 Irritative hyperplasia of oral mucosa || id:UKB-b:3318,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: K13.6 Irritative hyperplasia of oral mucosa || id:UKB-b:3318,Chang et al. 2017,lowcase
Diagnoses - main ICD10: K13.6 Irritative hyperplasia of oral mucosa || id:UKB-b:3318,Nalls et al. 2014,lowcase
"Diagnoses - main ICD10: N83.5 Torsion of ovary,ovarian pedicle and Fallopian tube || id:UKB-b:3319",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: N83.5 Torsion of ovary, ovarian pedicle and Fallopian tube || id:UKB-b:3319",Chang et al. 2017,lowcase
"Diagnoses - main ICD10: N83.5 Torsion of ovary, ovarian pedicle and Fallopian tube || id:UKB-b:3319",Nalls et al. 2014,lowcase
Operative procedures - main OPCS: N29.2 Attention to prosthesis in penis || id:UKB-b:332,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: N29.2 Attention to prosthesis in penis || id:UKB-b:332,Chang et al. 2017,lowcase
Operative procedures - main OPCS: N29.2 Attention to prosthesis in penis || id:UKB-b:332,Nalls et al. 2014,lowcase
Diagnoses - main ICD10: J85.2 Abscess of lung without pneumonia || id:UKB-b:3320,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: J85.2 Abscess of lung without pneumonia || id:UKB-b:3320,Chang et al. 2017,lowcase
Diagnoses - main ICD10: J85.2 Abscess of lung without pneumonia || id:UKB-b:3320,Nalls et al. 2014,lowcase
Operative procedures - main OPCS: U09.2 Ultrasound of pelvis || id:UKB-b:3321,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: U09.2 Ultrasound of pelvis || id:UKB-b:3321,Chang et al. 2017,lowcase
Operative procedures - main OPCS: U09.2 Ultrasound of pelvis || id:UKB-b:3321,Nalls et al. 2014,lowcase
Diagnoses - main ICD10: Z52.4 Kidney donor || id:UKB-b:3322,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: Z52.4 Kidney donor || id:UKB-b:3322,Nalls et al. 2014,snp+lowcase
"Diagnoses - main ICD10: T42.7 Antiepileptic and sedative-hypnotic drugs,unspecified || id:UKB-b:3323",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: T42.7 Antiepileptic and sedative-hypnotic drugs, unspecified || id:UKB-b:3323",Chang et al. 2017,lowcase
"Diagnoses - main ICD10: T42.7 Antiepileptic and sedative-hypnotic drugs, unspecified || id:UKB-b:3323",Nalls et al. 2014,lowcase
Operative procedures - main OPCS: P11.1 Excision of lesion of female perineum || id:UKB-b:3324,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: P11.1 Excision of lesion of female perineum || id:UKB-b:3324,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: P11.1 Excision of lesion of female perineum || id:UKB-b:3324,Nalls et al. 2014,snp+lowcase
Diagnoses - secondary ICD10: T91.8 Sequelae of other specified injuries of neck and trunk || id:UKB-b:3325,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: T91.8 Sequelae of other specified injuries of neck and trunk || id:UKB-b:3325,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: T91.8 Sequelae of other specified injuries of neck and trunk || id:UKB-b:3325,Nalls et al. 2014,lowcase
Diagnoses - main ICD10: R86.0 Abnormal level of enzymes || id:UKB-b:3326,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: R86.0 Abnormal level of enzymes || id:UKB-b:3326,Chang et al. 2017,lowcase
Diagnoses - main ICD10: R86.0 Abnormal level of enzymes || id:UKB-b:3326,Nalls et al. 2014,lowcase
Diagnoses - main ICD9: 72704 Synovitis and tenosynovitis (hand) || id:UKB-b:3327,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD9: 72704 Synovitis and tenosynovitis (hand) || id:UKB-b:3327,Chang et al. 2017,lowcase
Diagnoses - main ICD9: 72704 Synovitis and tenosynovitis (hand) || id:UKB-b:3327,Nalls et al. 2014,lowcase
Diagnoses - main ICD10: S32.0 Fracture of lumbar vertebra || id:UKB-b:3328,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: S32.0 Fracture of lumbar vertebra || id:UKB-b:3328,Chang et al. 2017,lowcase
Diagnoses - main ICD10: S32.0 Fracture of lumbar vertebra || id:UKB-b:3328,Nalls et al. 2014,lowcase
Diagnoses - secondary ICD10: W45.5 Trade and service area || id:UKB-b:3329,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: W45.5 Trade and service area || id:UKB-b:3329,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: W45.5 Trade and service area || id:UKB-b:3329,Nalls et al. 2014,lowcase
"Diagnoses - secondary ICD10: N87.9 Dysplasia of cervix uteri,unspecified || id:UKB-b:333",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Diagnoses - main ICD10: E88.1 Lipodystrophy,not elsewhere classified || id:UKB-b:3330",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: E88.1 Lipodystrophy, not elsewhere classified || id:UKB-b:3330",Chang et al. 2017,lowcase
"Diagnoses - main ICD10: E88.1 Lipodystrophy, not elsewhere classified || id:UKB-b:3330",Nalls et al. 2014,lowcase
Treatment/medication code: scheriproct ointment || id:UKB-b:3331,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: scheriproct ointment || id:UKB-b:3331,Chang et al. 2017,lowcase
Treatment/medication code: scheriproct ointment || id:UKB-b:3331,Nalls et al. 2014,lowcase
Treatment/medication code: hc - hydrocortisone || id:UKB-b:3332,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: hc - hydrocortisone || id:UKB-b:3332,Chang et al. 2017,lowcase
Diagnoses - main ICD10: M48.07 Spinal stenosis (Lumbosacral region) || id:UKB-b:3333,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: M48.07 Spinal stenosis (Lumbosacral region) || id:UKB-b:3333,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: M87.85 Other osteonecrosis (Pelvic region and thigh) || id:UKB-b:3334,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: M87.85 Other osteonecrosis (Pelvic region and thigh) || id:UKB-b:3334,Chang et al. 2017,lowcase
Treatment/medication code: clexane 20mg/0.2ml prefilled syringe || id:UKB-b:3335,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: clexane 20mg/0.2ml prefilled syringe || id:UKB-b:3335,Chang et al. 2017,lowcase
Operative procedures - main OPCS: W78.8 Other specified release of contracture of joint || id:UKB-b:3336,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: W78.8 Other specified release of contracture of joint || id:UKB-b:3336,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: M54.17 Radiculopathy (Lumbosacral region) || id:UKB-b:3338,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: M54.17 Radiculopathy (Lumbosacral region) || id:UKB-b:3338,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: I73.0 Raynaud's syndrome || id:UKB-b:3339,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - secondary ICD10: I73.0 Raynaud's syndrome || id:UKB-b:3339,Chang et al. 2017,snp
Diagnoses - main ICD10: C18.6 Descending colon || id:UKB-b:334,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: C18.6 Descending colon || id:UKB-b:334,Chang et al. 2017,snp+lowcase
Diagnoses - secondary ICD10: Q25.6 Stenosis of pulmonary artery || id:UKB-b:3340,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: Q25.6 Stenosis of pulmonary artery || id:UKB-b:3340,Chang et al. 2017,lowcase
Diagnoses - main ICD10: K74.6 Other and unspecified cirrhosis of liver || id:UKB-b:3341,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: E02.9 Unspecified plastic operations on nose || id:UKB-b:3342,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: E02.9 Unspecified plastic operations on nose || id:UKB-b:3342,Chang et al. 2017,lowcase
Operative procedures - main OPCS: W19.6 Primary open reduction of fragment of bone and fixation using wire system || id:UKB-b:3343,Nalls et al. 2019 (clinically diagnosed cases),snp
Operative procedures - secondary OPCS: Z45.8 Specified uterus NEC || id:UKB-b:3344,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: Z45.8 Specified uterus NEC || id:UKB-b:3344,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: P09.1 Biopsy of lesion of vulva || id:UKB-b:3345,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: P09.1 Biopsy of lesion of vulva || id:UKB-b:3345,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: M77.0 Medial epicondylitis || id:UKB-b:3346,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: M77.0 Medial epicondylitis || id:UKB-b:3346,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: T28.2 Suture of anterior abdominal wall || id:UKB-b:3348,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: T28.2 Suture of anterior abdominal wall || id:UKB-b:3348,Chang et al. 2017,lowcase
Treatment/medication code: numark hayfever and allergy relief 10mg tablet || id:UKB-b:3349,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: numark hayfever and allergy relief 10mg tablet || id:UKB-b:3349,Chang et al. 2017,lowcase
Diagnoses - main ICD9: 2429 Thyrotoxicosis without mention of goitre or other cause || id:UKB-b:3350,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD9: 2429 Thyrotoxicosis without mention of goitre or other cause || id:UKB-b:3350,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: H48.8 Other specified excision of lesion of anus || id:UKB-b:3351,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: H48.8 Other specified excision of lesion of anus || id:UKB-b:3351,Chang et al. 2017,lowcase
"Non-cancer illness code, self-reported: cellulitis || id:UKB-b:3352",Chang et al. 2017,snp
"Non-cancer illness code, self-reported: cellulitis || id:UKB-b:3352",Nalls et al. 2014,snp
Diagnoses - secondary ICD10: Z21 Asymptomatic human immunodeficiency virus [HIV] infection status || id:UKB-b:3354,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: Z21 Asymptomatic human immunodeficiency virus [HIV] infection status || id:UKB-b:3354,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: Z21 Asymptomatic human immunodeficiency virus [HIV] infection status || id:UKB-b:3354,Nalls et al. 2014,lowcase
Operative procedures - main OPCS: E50.8 Other specified therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope || id:UKB-b:3356,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: E50.8 Other specified therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope || id:UKB-b:3356,Chang et al. 2017,lowcase
Birth weight of first child || id:UKB-b:3357,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Birth weight of first child || id:UKB-b:3357,Chang et al. 2017,lowcase
Birth weight of first child || id:UKB-b:3357,Nalls et al. 2014,lowcase
Operative procedures - main OPCS: C71.9 Unspecified extracapsular extraction of lens || id:UKB-b:3358,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: C71.9 Unspecified extracapsular extraction of lens || id:UKB-b:3358,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Z86.5 Metatarsophalangeal joint of toe NEC || id:UKB-b:3359,Chang et al. 2017,snp
Diagnoses - secondary ICD10: O32.4 Maternal care for high head at term || id:UKB-b:336,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: O32.4 Maternal care for high head at term || id:UKB-b:336,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: O32.2 Maternal care for transverse and oblique lie || id:UKB-b:3360,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: O32.2 Maternal care for transverse and oblique lie || id:UKB-b:3360,Chang et al. 2017,lowcase
Operative procedures - main OPCS: J39.1 Endoscopic sphincterotomy of accessory ampulla of Vater || id:UKB-b:3361,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: J39.1 Endoscopic sphincterotomy of accessory ampulla of Vater || id:UKB-b:3361,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: G72.0 Drug-induced myopathy || id:UKB-b:3362,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: G72.0 Drug-induced myopathy || id:UKB-b:3362,Chang et al. 2017,lowcase
"Diagnoses - main ICD10: H16.9 Keratitis,unspecified || id:UKB-b:3363",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: H16.9 Keratitis, unspecified || id:UKB-b:3363",Chang et al. 2017,lowcase
"Diagnoses - secondary ICD10: J84.9 Interstitial pulmonary disease,unspecified || id:UKB-b:3364",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Diagnoses - secondary ICD10: J84.9 Interstitial pulmonary disease, unspecified || id:UKB-b:3364",Chang et al. 2017,lowcase
Operative procedures - main OPCS: L31.8 Other specified transluminal operations on carotid artery || id:UKB-b:3365,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: L31.8 Other specified transluminal operations on carotid artery || id:UKB-b:3365,Chang et al. 2017,lowcase
"Non-cancer illness code,self-reported: connective tissue disorder || id:UKB-b:3366",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Non-cancer illness code, self-reported: connective tissue disorder || id:UKB-b:3366",Chang et al. 2017,snp+lowcase
Number of adopted brothers || id:UKB-b:3367,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Type of cancer: ICD10: D45 Polycythaemia vera || id:UKB-b:3368,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Type of cancer: ICD10: D45 Polycythaemia vera || id:UKB-b:3368,Chang et al. 2017,snp+lowcase
Type of cancer: ICD10: D45 Polycythaemia vera || id:UKB-b:3368,Nalls et al. 2014,snp+lowcase
Diagnoses - main ICD9: 3823 Unspecified chronic suppurative otitis media || id:UKB-b:3369,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD9: 3823 Unspecified chronic suppurative otitis media || id:UKB-b:3369,Chang et al. 2017,lowcase
Diagnoses - main ICD9: 3823 Unspecified chronic suppurative otitis media || id:UKB-b:3369,Nalls et al. 2014,lowcase
Type of cancer: ICD10: C84.4 Peripheral T-cell lymphoma || id:UKB-b:3372,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Type of cancer: ICD10: C84.4 Peripheral T-cell lymphoma || id:UKB-b:3372,Chang et al. 2017,snp+lowcase
"Diagnoses - secondary ICD10: Y04.2 School,other institution and public administrative area || id:UKB-b:3373",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD10: Y04.2 School, other institution and public administrative area || id:UKB-b:3373",Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: C67.4 Posterior wall of bladder || id:UKB-b:3374,Nalls et al. 2019 (clinically diagnosed cases),lowcase
